model,oyear,horizon,cov90,cov50,n,origins,region,assessed,in_band,target
m1_enbpi,2022,3,0.8267272727272728,0.3781818181818182,5500,12,assessable,True,False,all
m1_enbpi,2022,4,0.8387978142076503,0.37868852459016394,5490,12,assessable,True,False,all
m1_enbpi,2022,5,0.8294418095585553,0.38234221087194453,5482,12,assessable,True,False,all
m1_enbpi,2022,6,0.7974799123447772,0.4161796932067202,5476,12,assessable,True,False,all
m1_enbpi,2023,1,0.8661818181818182,0.37054545454545457,5500,12,assessable,True,False,all
m1_enbpi,2023,2,0.8793650793650793,0.40456349206349207,5040,11,assessable,True,True,all
m1_enbpi,2023,3,0.8519973804846104,0.3800480244488103,4581,10,assessable,True,False,all
m1_enbpi,2023,4,0.8343037360504609,0.36050460941290635,4122,9,assessable,True,False,all
m1_enbpi,2023,5,0.81838014725934,0.36051268066539405,3667,8,assessable,True,False,all
m1_enbpi,2023,6,0.7985678704856787,0.3468244084682441,3212,7,assessable,True,False,all
m1_lightgbm_v3,2018,1,0.8443571723852832,0.3739148408433237,4838,9,assessable,True,False,all
m1_lightgbm_v3,2018,2,0.796265560165975,0.329253112033195,4820,9,assessable,True,False,all
m1_lightgbm_v3,2018,3,0.8090075062552127,0.34841534612176817,4796,9,assessable,True,False,all
m1_lightgbm_v3,2018,4,0.7504194630872483,0.3152265100671141,4768,9,assessable,True,False,all
m1_lightgbm_v3,2018,5,0.7951527924130664,0.3553213909378293,4745,9,assessable,True,False,all
m1_lightgbm_v3,2018,6,0.7542784703148109,0.3158673145996197,4733,9,assessable,True,False,all
m1_lightgbm_v3,2019,1,0.8161184210526315,0.38766447368421053,6080,12,assessable,True,False,all
m1_lightgbm_v3,2019,2,0.812324467206344,0.38311581034197917,6053,12,assessable,True,False,all
m1_lightgbm_v3,2019,3,0.7953187250996016,0.3598937583001328,6024,12,assessable,True,False,all
m1_lightgbm_v3,2019,4,0.7760786455488804,0.3593664664117968,5493,11,assessable,True,False,all
m1_lightgbm_v3,2019,5,0.7534687311482002,0.32415041222602053,4973,10,assessable,True,False,all
m1_lightgbm_v3,2019,6,0.7320071524362987,0.3012963790791238,4474,9,assessable,True,False,all
m1_lightgbm_v3,2020,1,0.8061630218687873,0.34691848906560635,1006,2,assessable,False,False,all
m1_lightgbm_v3,2020,2,0.802,0.392,500,1,assessable,False,False,all
m1_lightgbm_v3,2021,1,0.8725384890798424,0.5413533834586466,2793,6,assessable,True,True,all
m1_lightgbm_v3,2021,2,0.851346499102334,0.43087971274685816,2785,6,assessable,True,False,all
m1_lightgbm_v3,2021,3,0.8525179856115108,0.34568345323741007,2780,6,assessable,True,False,all
m1_lightgbm_v3,2021,4,0.8308135349172067,0.31533477321814257,2778,6,assessable,True,False,all
m1_lightgbm_v3,2021,5,0.8413270825820411,0.2751532636134151,2773,6,assessable,True,False,all
m1_lightgbm_v3,2021,6,0.8575560375994216,0.24367317425885757,2766,6,assessable,True,False,all
m1_lightgbm_v3,2022,1,0.8465579710144927,0.35978260869565215,5520,12,assessable,True,False,all
m1_lightgbm_v3,2022,2,0.8366606170598911,0.3524500907441016,5510,12,assessable,True,False,all
m1_lightgbm_v3,2022,3,0.8256363636363636,0.3276363636363636,5500,12,assessable,True,False,all
m1_lightgbm_v3,2022,4,0.8329690346083789,0.32987249544626596,5490,12,assessable,True,False,all
m1_lightgbm_v3,2022,5,0.8298066399124407,0.33090113097409707,5482,12,assessable,True,False,all
m1_lightgbm_v3,2022,6,0.8089846603360117,0.3287070854638422,5476,12,assessable,True,False,all
m1_lightgbm_v3,2023,1,0.8585454545454545,0.39,5500,12,assessable,True,False,all
m1_lightgbm_v3,2023,2,0.8539682539682539,0.40714285714285714,5040,11,assessable,True,False,all
m1_lightgbm_v3,2023,3,0.8426107836716874,0.3938004802444881,4581,10,assessable,True,False,all
m1_lightgbm_v3,2023,4,0.8238719068413392,0.35055798156234835,4122,9,assessable,True,False,all
m1_lightgbm_v3,2023,5,0.7990182710662667,0.3474229615489501,3667,8,assessable,True,False,all
m1_lightgbm_v3,2023,6,0.7801992528019925,0.349626400996264,3212,7,assessable,True,False,all
m1_lightgbm_v3_raw,2018,1,0.7362546506821,0.361099627945432,4838,9,assessable,True,False,all
m1_lightgbm_v3_raw,2018,2,0.6595435684647303,0.28775933609958504,4820,9,assessable,True,False,all
m1_lightgbm_v3_raw,2018,3,0.6959966638865721,0.3000417014178482,4796,9,assessable,True,False,all
m1_lightgbm_v3_raw,2018,4,0.5952181208053692,0.26153523489932884,4768,9,assessable,True,False,all
m1_lightgbm_v3_raw,2018,5,0.6278187565858798,0.2640674394099052,4745,9,assessable,True,False,all
m1_lightgbm_v3_raw,2018,6,0.5734206634270019,0.23557997042045214,4733,9,assessable,True,False,all
m1_lightgbm_v3_raw,2019,1,0.7134868421052631,0.32664473684210527,6080,12,assessable,True,False,all
m1_lightgbm_v3_raw,2019,2,0.6937056005286635,0.29439947133652733,6053,12,assessable,True,False,all
m1_lightgbm_v3_raw,2019,3,0.6527224435590969,0.2818725099601594,6024,12,assessable,True,False,all
m1_lightgbm_v3_raw,2019,4,0.634261787729838,0.2657928272346623,5493,11,assessable,True,False,all
m1_lightgbm_v3_raw,2019,5,0.607279308264629,0.24854212748843757,4973,10,assessable,True,False,all
m1_lightgbm_v3_raw,2019,6,0.5824765310683951,0.24273580688421995,4474,9,assessable,True,False,all
m1_lightgbm_v3_raw,2020,1,0.6451292246520874,0.25646123260437376,1006,2,assessable,False,False,all
m1_lightgbm_v3_raw,2020,2,0.528,0.222,500,1,assessable,False,False,all
m1_lightgbm_v3_raw,2021,1,0.6197636949516648,0.25993555316863587,2793,6,assessable,True,False,all
m1_lightgbm_v3_raw,2021,2,0.5619389587073609,0.22333931777378815,2785,6,assessable,True,False,all
m1_lightgbm_v3_raw,2021,3,0.5852517985611511,0.25755395683453236,2780,6,assessable,True,False,all
m1_lightgbm_v3_raw,2021,4,0.5561555075593952,0.1861051115910727,2778,6,assessable,True,False,all
m1_lightgbm_v3_raw,2021,5,0.576631806707537,0.18283447529751173,2773,6,assessable,True,False,all
m1_lightgbm_v3_raw,2021,6,0.591467823571945,0.20824295010845986,2766,6,assessable,True,False,all
m1_lightgbm_v3_raw,2022,1,0.6795289855072464,0.2831521739130435,5520,12,assessable,True,False,all
m1_lightgbm_v3_raw,2022,2,0.6125226860254084,0.26116152450090746,5510,12,assessable,True,False,all
m1_lightgbm_v3_raw,2022,3,0.59,0.21381818181818182,5500,12,assessable,True,False,all
m1_lightgbm_v3_raw,2022,4,0.6058287795992714,0.2103825136612022,5490,12,assessable,True,False,all
m1_lightgbm_v3_raw,2022,5,0.5879241152863919,0.2041225829989055,5482,12,assessable,True,False,all
m1_lightgbm_v3_raw,2022,6,0.5807158509861212,0.2089116143170197,5476,12,assessable,True,False,all
m1_lightgbm_v3_raw,2023,1,0.7501818181818182,0.3401818181818182,5500,12,assessable,True,False,all
m1_lightgbm_v3_raw,2023,2,0.7406746031746032,0.3388888888888889,5040,11,assessable,True,False,all
m1_lightgbm_v3_raw,2023,3,0.7450338354071163,0.3529796987557302,4581,10,assessable,True,False,all
m1_lightgbm_v3_raw,2023,4,0.7011159631246967,0.2789907811741873,4122,9,assessable,True,False,all
m1_lightgbm_v3_raw,2023,5,0.6839378238341969,0.2639760021816199,3667,8,assessable,True,False,all
m1_lightgbm_v3_raw,2023,6,0.6562889165628891,0.26556662515566626,3212,7,assessable,True,False,all
m1_lightgbm_v3_raw+dtaci,2018,1,0.9078131459280695,0.4948325754443985,4838,9,assessable,True,True,all
m1_lightgbm_v3_raw+dtaci,2018,2,0.8850622406639004,0.4450207468879668,4820,9,assessable,True,True,all
