split,origin_set,n_origins,level,mode,g1,stat,months,oyear,horizon,point_raw,lo_raw,hi_raw,lo_within_raw,hi_within_raw,n_rows_raw,n_series_raw,n_units_raw,zero_den_raw,degenerate_raw,point_pooled,lo_pooled,hi_pooled,lo_within_pooled,hi_within_pooled,n_rows_pooled,n_series_pooled,n_units_pooled,zero_den_pooled,degenerate_pooled,point_diff,lo_diff,hi_diff,lo_within_diff,hi_within_diff,zero_den_diff,degenerate_diff,raw_gap_point_pp,raw_gap_lo_pp,raw_gap_hi_pp,pooled_gap_point_pp,pooled_gap_lo_pp,pooled_gap_hi_pp,diff_point_pp,diff_lo_pp,diff_hi_pp,model
conf,CONF19,19,provider,asof,failed_dropped,cov90,all,2025,5,0.9658869395711501,0.9507560500791511,0.9806700549535365,0.9528652289116939,0.9774174299656022,3078,188,7,26,False,0.9246263807667316,0.9065958248631949,0.9512863720105632,0.9061870753945027,0.94162447637314,3078,188,7,26,False,-0.04126055880441848,-0.05436441085868305,-0.022776787216750284,-0.05424061376392406,-0.030630357210285862,26,False,6.5886939571150105,5.075605007915107,8.067005495353651,2.4626380766731626,0.6595824863194877,5.128637201056319,-4.126055880441848,-5.436441085868305,-2.2776787216750285,b1_ets
conf,CONF19,19,provider,asof,failed_dropped,cov90,all,2025,6,0.9661788617886179,0.9521278159482887,0.978971318822023,0.9542817360300188,0.9774581741877086,3075,188,7,26,False,0.9219512195121952,0.901610528097495,0.9496652969518963,0.9030148473163483,0.9391501039238701,3075,188,7,26,False,-0.04422764227642273,-0.059584231557915784,-0.02366062589629792,-0.05849980580671974,-0.03223190532669211,26,False,6.617886178861787,5.212781594828863,7.897131882202302,2.195121951219514,0.16105280974949565,4.966529695189625,-4.422764227642273,-5.9584231557915786,-2.366062589629792,b1_ets
conf,CONF19,19,provider,asof,failed_dropped,cov90,all,2024,1,0.8807183364839319,0.8406624542033458,0.9300050341395673,0.8687226193261997,0.8924184580641779,5290,192,12,1,False,0.8933837429111531,0.8587640516267174,0.9362259608446926,0.8813908999258324,0.9046985119952347,5290,192,12,1,False,0.012665406427221138,0.004109391774808013,0.02084792984792987,0.009787838533870916,0.015625884433962265,1,False,-1.9281663516068082,-5.933754579665418,3.0005034139567233,-0.6616257088846944,-4.123594837328259,3.622596084469254,1.2665406427221138,0.41093917748080133,2.084792984792987,b2_stl_arima
conf,CONF19,19,provider,asof,failed_dropped,cov90,all,2024,2,0.9204846648996592,0.8973390566225673,0.9532637118585553,0.9098671101341236,0.9314890071107393,5282,191,12,1,False,0.9204846648996592,0.8973390566225673,0.9532637118585553,0.9098671101341236,0.9314890071107393,5282,191,12,1,False,0.0,0.0,0.0,0.0,0.0,1,False,2.0484664899659166,-0.2660943377432723,5.326371185855527,2.0484664899659166,-0.2660943377432723,5.326371185855527,0.0,0.0,0.0,b2_stl_arima
conf,CONF19,19,provider,asof,failed_dropped,cov90,all,2024,3,0.9395375284306292,0.9265247757200566,0.9599476804756168,0.9296098170483079,0.9497920741658396,5276,188,12,1,False,0.9395375284306292,0.9265247757200566,0.9599476804756168,0.9296098170483079,0.9497920741658396,5276,188,12,1,False,0.0,0.0,0.0,0.0,0.0,1,False,3.9537528430629187,2.6524775720056626,5.994768047561683,3.9537528430629187,2.6524775720056626,5.994768047561683,0.0,0.0,0.0,b2_stl_arima
conf,CONF19,19,provider,asof,failed_dropped,cov90,all,2024,4,0.947268588770865,0.9359677870362813,0.9621301462523026,0.9372647479623305,0.9576959214682279,5272,188,12,1,False,0.947268588770865,0.9359677870362813,0.9621301462523026,0.9372647479623305,0.9576959214682279,5272,188,12,1,False,0.0,0.0,0.0,0.0,0.0,1,False,4.726858877086492,3.596778703628123,6.213014625230262,4.726858877086492,3.596778703628123,6.213014625230262,0.0,0.0,0.0,b2_stl_arima
conf,CONF19,19,provider,asof,failed_dropped,cov90,all,2024,5,0.951784358390281,0.9408942775110439,0.965995964146547,0.9415009317659938,0.962381829531833,5268,188,12,1,False,0.951784358390281,0.9408942775110439,0.965995964146547,0.9415009317659938,0.962381829531833,5268,188,12,1,False,0.0,0.0,0.0,0.0,0.0,1,False,5.178435839028095,4.089427751104391,6.599596414654696,5.178435839028095,4.089427751104391,6.599596414654696,0.0,0.0,0.0,b2_stl_arima
conf,CONF19,19,provider,asof,failed_dropped,cov90,all,2024,6,0.9578187345620368,0.9459521655743429,0.9696142625433389,0.9475471276269621,0.9683546549984726,5263,188,12,1,False,0.9578187345620368,0.9459521655743429,0.9696142625433389,0.9475471276269621,0.9683546549984726,5263,188,12,1,False,0.0,0.0,0.0,0.0,0.0,1,False,5.781873456203678,4.59521655743429,6.961426254333891,5.781873456203678,4.59521655743429,6.961426254333891,0.0,0.0,0.0,b2_stl_arima
conf,CONF19,19,provider,asof,failed_dropped,cov90,all,2025,1,0.9115932642487047,0.8668414669858165,0.938869788692176,0.8974795221968654,0.9260899284704734,3088,189,7,26,False,0.9115932642487047,0.8668414669858165,0.938869788692176,0.8974795221968654,0.9260899284704734,3088,189,7,26,False,0.0,0.0,0.0,0.0,0.0,26,False,1.159326424870466,-3.3158533014183478,3.8869788692175944,1.159326424870466,-3.3158533014183478,3.8869788692175944,0.0,0.0,0.0,b2_stl_arima
conf,CONF19,19,provider,asof,failed_dropped,cov90,all,2025,2,0.9449303530936184,0.9206909722460109,0.9615127365618479,0.9316117828459867,0.9568710726103541,3087,189,7,26,False,0.9433106575963719,0.9206909722460109,0.9603007442900228,0.9299169062957492,0.9552206696214952,3087,189,7,26,False,-0.0016196954972464983,-0.0036419099330240122,0.0,-0.0030284681317124694,-0.00032924798572045444,26,False,4.4930353093618365,2.069097224601091,6.151273656184786,4.3310657596371875,2.069097224601091,6.0300744290022745,-0.16196954972464983,-0.36419099330240123,0.0,b2_stl_arima
